company,дугаар,цаг,хэсэг,нэр_дэвшигч,асуугч,хариулагч,асуулт,хариулт
Sales/Purchasing (Coca-Cola),25.0,45:13,Ярилцлага - Борлуулалт/худалдан авалт,Атумбат,Ярилцагч,Атумбат,Та өөрийгөө танилцуулна уу.,Намайг Атумбат гэдэг. Би одоо Улаанбаатар хотод төрсөн 24 настай залуу. Би маркетингийн чиглэлээр санхүүгийн чиглэлээр төгссөн. Яг одоо харилцаа холбооны чиглэлээр тээвэр ложистикийн компанид ажиллаж байна.
Sales/Purchasing (Coca-Cola),26.0,45:43,Ярилцлага - Борлуулалт/худалдан авалт,Атумбат,Ярилцагч,Атумбат,Боловсролын замналынхаа талаар яриач.,"Аав маань эмч, багш мэргэжилтэй. Би 2015 онд ээжийнхээ мэргэжлийг дуурайж эмч болохыг хүссэн. Гурван жил сураад Санхийн сургуульд орсон. Би ч бас өөрчлөгдөхийг хүссэн учраас 2024 онд Санхүүгийн сургуулийг маркетингийн менежментийн чиглэлээр бакалаврын зэрэгтэй төгссөн."
Sales/Purchasing (Coca-Cola),27.0,46:29,Ярилцлага - Борлуулалт/худалдан авалт,Атумбат,Ярилцагч,Атумбат,Гадаадад сурсан тухайгаа яриач.,Шалгалтаа өгөөд Бээжингийн Уул Урхай их сургуулийг уул уурхайн инженер мэргэжлээр төгссөн.
Sales/Purchasing (Coca-Cola),28.0,47:38,Ярилцлага - Борлуулалт/худалдан авалт,Янжила,Ярилцагч,Янжила,"Өөрийгөө танилцуулж, боловсролынхоо талаар яриач.","Намайг Янжила гэдэг, би 27 настай. Би ӨМӨЗО-ны их сургуулийг нягтлан бодох бүртгэлийн чиглэлээр, дараа нь Монголд Сэнти их сургуулийг гадаад худалдаа, олон улсын харилцааны чиглэлээр төгссөн."
Sales/Purchasing (Coca-Cola),29.0,48:03,Ярилцлага - Борлуулалт/худалдан авалт,Янжила,Ярилцагч,Янжила,Та хүүхэд байхдаа хэр идэвхтэй байсан бэ? Таны сонирхол юу байсан бэ?,"Би шинэ зүйл туршиж үзэх хоббитой их хөдөлгөөнтэй хүүхэд байсан. Би 10-р ангиасаа эхлээд Монголын түүх, нийгэм, англи хэлийг их сонирхож эхэлсэн. Би өөртөө зорилго тавьж, төгс суралцахыг хичээсэн. Би 10 настайгаасаа л гадагшаа гарч сурах хүсэл эрмэлзэлтэй болсон."
Sales/Purchasing (Coca-Cola),30.0,49:44,Ярилцлага - Борлуулалт/худалдан авалт,Янжила,Ярилцагч,Янжила,Та яагаад Хятадад суралцахаар шийдсэн бэ?,"Бараа бүтээх ирээдүй байгаа, түүнийгээ сайн холбож, хүмүүст зарахыг хүссэн. Монголтой ойр, томоохон аж үйлдвэртэй учраас Хятадыг сонгосон."
Sales/Purchasing (Coca-Cola),31.0,50:34,Ярилцлага - Борлуулалт/худалдан авалт,Янжила,Ярилцагч,Янжила,Та өөрийн зардлаар боловсрол эзэмшсэн үү эсвэл тэтгэлгээр үү?,Тэтгэлгийн хувьд Баруун Монголын Засгийн газрын тэтгэлгээр Баруун Монголын их сургуульд элсэн орсон. Титэм өвчний үед би нэмэлт сорилтуудтай тулгарсан.
Sales/Purchasing (Coca-Cola),32.0,51:03,Ярилцлага - Борлуулалт/худалдан авалт,Янжила,Ярилцагч,Янжила,Бидний зарласан ажлыг худалдаачин гэдэг. Та энэ ажлыг судалж үзсэн үү? Энэ нь таны сонирхолд хэр нийцэж байна вэ?,Би үүнийг худалдан авагчид юу хэрэгтэйг ойлгохын тулд зогсох ёстой өөр нэг станц гэж харж байна. Би аль хэдийн бий болсон тоглоомын өөрчлөлтийн системийг ойлгохыг хүсч байна.
Sales/Purchasing (Coca-Cola),33.0,51:51,Ярилцлага - Борлуулалт/худалдан авалт,Янжила,Ярилцагч,Янжила,Та багууд удирдаж байсан уу? Та багийн удирдлагаар ажиллаж байсан туршлагатай юу?,"Би бол гүүр бөгөөд сайн харилцдаг. Миний тавьсан ажлын шаардлагаас болоод яг одоо ажиллаж байгаа ажилдаа ойрхон юм шиг санагддаг.Борлуулалтаа хариуцахаас гадна өдөр тутмын гэрээ хэлэлцээрт бэлдэж, үр нөлөөг дээшлүүлэх тал дээр ажилладаг болохоор өөртөө итгэлтэй байдаг."
Sales/Purchasing (Coca-Cola),34.0,44:00,Ярилцлага - Борлуулалт/худалдан авалт,Нэр дэвшигч 7,Ярилцагч,Нэр дэвшигч 7,Та өөрийгөө танилцуулна уу.,"Би 24 настай, Японд Рик Азинханлагийн их сургуульд суралцаж, 2019 онд төгсөөд Монголдоо ажиллахаар ирсэн."
