company,дугаар,цаг,хэсэг,нэр_дэвшигч,асуугч,хариулагч,асуулт,хариулт
Financial Analyst (EMS),1.0,07:30,Ярилцлага - Санхүүгийн шинжээч,Сүхтөмөр,Ярилцагч,Сүхтөмөр,Сайн байна уу? Та сандарч байна уу? Та өөрийгөө танилцуулна уу.,"Намайг Сүхтөмөр гэдэг, би 22 настай. Би Сангийн их сургуулийг санхүүч мэргэжлээр төгссөн. Би жаахан сандарч байх шиг байна. Би дөнгөж энэ хавар санхүүгийн мэргэжлээр төгссөн. Оюутан болсныхоо дараа аль болох сандрахгүй байхыг хичээсэн. Ерөнхийдөө надад илүү практик туршлага хэрэгтэй байгааг ойлгож, одоо ийм ажил хайж байна."
Financial Analyst (EMS),2.0,08:59,Ярилцлага - Санхүүгийн шинжээч,Сүхтөмөр,Ярилцагч,Сүхтөмөр,Та ямар чиглэлээр сайжруулах шаардлагатай гэж бодож байна вэ?,Тодорхой ярих тал дээр илүү анхаарна гэж бодож байна.
Financial Analyst (EMS),3.0,09:07,Ярилцлага - Санхүүгийн шинжээч,Сүхтөмөр,Ярилцагч,Сүхтөмөр,Та яагаад энэ мэргэжлийг сонгох болсон бэ?,Би энэ мэргэжлийг дурсах сэтгэлээр сонгосон гэж боддог. Магадгүй энэ нь миний ирээдүйн зорилготой нягт холбоотой байх.
Financial Analyst (EMS),4.0,09:33,Ярилцлага - Санхүүгийн шинжээч,Нэр дэвшигч 2,Ярилцагч,Нэр дэвшигч 2,Сайн байна уу? Тавтай морил. Та өөрийгөө танилцуулна уу.,"Би шинжлэх ухааны сургуульд элсэн орж 23 настайдаа төгссөн. Мөн 2021 онд СЭЗДС-д суралцаж, санхүү эдийн засагч мэргэжлээр бакалаврын зэрэгтэй төгссөн. Сургуулиа төгсөөд авто компанид ажиллаад хоёр жил болж байна. Би ашгийн бус байгууллагад ажиллаж эхэлсэн, ажил хэрхэн явагдаж байгааг шалгасан. Ганцхан мэргэжилтэй байх нь карьерыг хязгаарладаг гэж боддог учраас би хоёр мэргэжилтэй."
Financial Analyst (EMS),5.0,10:54,Ярилцлага - Санхүүгийн шинжээч,Нэр дэвшигч 2,Ярилцагч,Нэр дэвшигч 2,Сургуулиа төгсөөд ажлын туршлагаасаа ярина уу.,"Гурван жилийн дараа би Ротрак Монголиа дээр дахин ажиллаж байсан. Санхүү бол ийм, бусад хүмүүс өмнө нь хийж байсан. Би санхүүгийн чиглэлээр сурч байсан, одоо надад санхүүгийн асуудлыг хариуцах үүрэг өгсөн. Би үндсэн мөнгийг жилийн хугацаатай зээл рүү оруулсан."
Financial Analyst (EMS),6.0,11:44,Ярилцлага - Санхүүгийн шинжээч,Нэр дэвшигч 2,Ярилцагч,Нэр дэвшигч 2,Та сүүлийн үед юу хийж байна вэ? Та чөлөөт цагаараа юу хийж байсан бэ?,"Би өөр фитнесс гэр бүлтэй. Барьж сурсан үедээ л тоглодог байсан. Спортоор хичээллэдэг хүмүүс их баяртай байдаг. Би тийм, гэхдээ үнэнийг хэлэхэд би байнга хичээллэж, тоглож байсан. Би илүү ихийг сурах хэрэгтэй байна."
Financial Analyst (EMS),7.0,12:26,Ярилцлага - Санхүүгийн шинжээч,Нэр дэвшигч 2,Ярилцагч,Нэр дэвшигч 2,Үр дүнд хүргэсэн тохиолдлоос хуваалцана уу? Та юу сурсан бэ?,"Би тодорхой зүйл бодож чадахгүй байна. Би 12 сар орчим бэлтгэл хийж, таван сарын дотор CFA шалгалт өгсөн. Гурав, дөрвөн жилийн дараа SFA болно гэсэн сурталчилгаа гарсан. Би менежментийн тухай англи ном уншиж байсан, бараг уншиж дуусч байна."
Financial Analyst (EMS),8.0,13:48,Ярилцлага - Санхүүгийн шинжээч,Нэр дэвшигч 2,Ярилцагч,Нэр дэвшигч 2,Та хэзээ нэгэн цагт менежментийн номын ойлголтуудыг харьцуулахыг оролдож байсан уу? Та яагаад энэ номыг сонгосон бэ?,"Би хэзээ ч ийм харьцуулалт хийж байгаагүй. Ерөнхийдөө мэргэжлийн мэдээний нийтлэлийг ихэвчлэн янз бүрийн эх сурвалжаас авдаг. Би Трампын мэдэгдэл, мэдээлэл, нийгмийн орчинд хэрхэн нөлөөлж байгааг дагаж мөрддөг. Энэ нь үзэхэд сонирхолтой юм."
Financial Analyst (EMS),9.0,14:31,Ярилцлага - Санхүүгийн шинжээч,Нэр дэвшигч 2,Ярилцагч,Нэр дэвшигч 2,Та сургуулиа төгсөөд өнгөрсөн дөрвөн сарын хугацаанд юу хийсэн бэ?,"Би Миннесота мужийн Миннеаполис хотод хоол хийхээр Work Travel хөтөлбөрийн дагуу Америкт гурван сар явсан. Би бас Невада мужийн Лас Вегас хотод ""grand scr"" хэмээх албан тушаалд ажиллаж байсан. Богино хугацаанд чадвар эзэмшиж, амжилттай хэрэгжүүлж чадсан. Шилдэг ажилтнаар шалгаруулаад зогсохгүй эхний жил хийсэн ажлаараа шагнуулсан."
Financial Analyst (EMS),10.0,16:03,Ярилцлага - Санхүүгийн шинжээч,Нэр дэвшигч 2,Ярилцагч,Нэр дэвшигч 2,Та саяхан хэн нэгэнд ур чадвар зааж өгсөн үү?,Ажил дээрээ ганц л удаа. Явахдаа өөр хийх хүн байхгүй болохоор хүмүүст юу хийхийг нь харуулсан. Би тэдэнд хялбар даалгавар өгсөн. Ерөнхий нөхцөлд бэлтгэл хийсний дараа бид гүйцэтгэлийн тодорхой хэмжүүр бүхий самбар бэлтгэсэн.
