company,дугаар,цаг,хэсэг,нэр_дэвшигч,асуугч,хариулагч,асуулт,хариулт
Metagro,34.0,32:38,Метагро нягтлан бодогчийн ярилцлага,"Мөнх Гэрэл (21, нягтлан бодох бүртгэл, Англи төгссөн)",Ярилцагч,Мөнх Гэрэл,Та өөрийгөө танилцуулна уу.,"Намайг Гэрэл Мөнх гэдэг. Би 21 настай. Би эхлээд санхүү, төрийн дээд сургуульд элсэн орж, нэг семестер суралцаад, дараа нь гадаад явахаар шийдсэн. Би Англид очоод 2025 онд Ноттингем Трент их сургуулийг нягтлан бодох бүртгэлийн чиглэлээр төгссөн."
Metagro,35.0,33:57,Метагро нягтлан бодогчийн ярилцлага,"Мөнх Гэрэл (21, нягтлан бодох бүртгэл, Англи төгссөн)",Ярилцагч,Мөнх Гэрэл,Ярилцлагад хэр бэлдсэн бэ? Та сандарч байна уу?,Би нэлээд сандарч байна. Ярилцлагад хангалттай бэлдсэн гэж бодож байна. Гэхдээ сандрах нь нэлээд үндэслэлтэй.
Metagro,36.0,34:14,Метагро нягтлан бодогчийн ярилцлага,Чимэгийн Одон (нягтлан бодох бүртгэлийн оюутан),Ярилцагч,Одон Чимэг,Та өөрийгөө танилцуулна уу.,"Би МУИС-ийг нягтлан бодогч мэргэжлээр төгсөх гэж байна. Би борлуулалтын бүртгэл, цалингийн тооцоо, авлага тооцоо хийж байсан туршлагатай."
Metagro,37.0,34:26,Метагро нягтлан бодогчийн ярилцлага,Чимэгийн Одон (нягтлан бодох бүртгэлийн оюутан),Ярилцагч,Одон Чимэг,Ярилцлага амжилттай болвол яаж баярлах вэ?,Би найзтайгаа баяраа тэмдэглэнэ.
Metagro,38.0,34:39,Метагро нягтлан бодогчийн ярилцлага,Уянгас (групп компанийн ажилтан),Ярилцагч,Уянгас,"Та өөрийгөө танилцуулж, яагаад нэгдэхийг хүсч байгаагаа хэлээрэй.",Би Эмес группын охин компанид ажиллаж байсан туршлагатай. Би групп доторх ажил мэргэжлийн дотоод боломжийг ашиглан өөрийгөө сорихыг хүсч байна. Өмнөх ажил маань бас групп компанид байсан болохоор дотооддоо нүүмээр байна.
Metagro,39.0,36:40,Метагро нягтлан бодогчийн ярилцлага,"Мөнх Гэрэл (21, нягтлан бодох бүртгэл, Англи төгссөн)",Ярилцагч,Мөнх Гэрэл,Та сандарч байна уу? Та сандарсан үедээ ихэвчлэн өөрийгөө хэрхэн тайвшруулдаг вэ?,Би гүнзгий амьсгаа авлаа. Гэхдээ би ерөнхийдөө сандарсан үедээ гараараа догдолдог.
Metagro,40.0,37:17,Метагро нягтлан бодогчийн ярилцлага,Уянгас (групп компанийн ажилтан),Ярилцагч,Уянгас,Өмнө нь ажиллаж байсан туршлагаасаа ярина уу.,"Би компанид ажилладаг. Би 2025 оны 9-р сараас хойш ажиллаж байна. Би бараа материал тоолох, төлбөрийн баримт гаргах, мөнгөний асуудал эрхэлдэг, архив удирддаг."
Metagro,41.0,37:33,Метагро нягтлан бодогчийн ярилцлага,Уянгас (групп компанийн ажилтан),Ярилцагч,Уянгас,Та яагаад нягтлан бодох бүртгэлийн мэргэжлийг сонгосон бэ?,"Ээж маань надад зориулж сонгосон. Эмэгтэй хүний ​​хувьд сайхан мэргэжил, цэвэрхэн мэргэжил гэж хэлсэн. Харин дараа нь би үүнийг судалж эхэлсний дараа надад таалагдаж эхэлсэн бөгөөд энэ нь олон сонирхолтой талуудтай болохыг ойлгосон."
Metagro,42.0,38:15,Метагро нягтлан бодогчийн ярилцлага,Уянгас (групп компанийн ажилтан),Ярилцагч,Уянгас,Аль хичээл танд хамгийн их таалагдсан бэ?,Хүний нөөцийн хичээл их таалагдсан [инээв]. Би хүний ​​нөөцийн чиглэлээр бас сонирхож байсан тул нягтлан бодох бүртгэлийн хажуугаар хүний ​​нөөцийн чиглэлээр карьер хөөхөд хэтэрхий хөгширсөн байж магадгүй юм.
Metagro,43.0,38:39,Метагро нягтлан бодогчийн ярилцлага,Уянгас (групп компанийн ажилтан),Ярилцагч,Уянгас,Та нягтлан бодох бүртгэлийн чадвараа хувийн амьдралдаа ашигласан уу?,"Би нөхрийнхөө цалинг тооцох гэх мэт хувийн санхүүдээ ашигладаг. Байгууллага, хүмүүсийн хандлага, харилцааг хараад нягтлан бодох бүртгэлийн ажилд татагддаг юм шиг санагддаг."
